,Alphas,Layers,Solvers,R2
123,1e-07,"(10, 10, 5)",lbfgs,0.1460437256665491
124,1e-07,"(10, 10, 5)",adam,0.14185394129408824
125,1e-07,"(10, 10, 5)",sgd,0.13211984000792576
126,1e-07,"(10, 10, 10)",lbfgs,0.13636919615800047
127,1e-07,"(10, 10, 10)",adam,0.13838776591849344
128,1e-07,"(10, 10, 10)",sgd,0.13797364389240485
129,1e-07,"(10, 10, 20)",lbfgs,0.1412643990414082
130,1e-07,"(10, 10, 20)",adam,0.14139782046735028
131,1e-07,"(10, 10, 20)",sgd,0.1307493009594889
132,1e-07,"(10, 20, 2)",lbfgs,0.13977104685457908
133,1e-07,"(10, 20, 2)",adam,0.13626247710927086
134,1e-07,"(10, 20, 2)",sgd,0.11262281515685946
135,1e-07,"(10, 20, 5)",lbfgs,0.12441601218202503
136,1e-07,"(10, 20, 5)",adam,0.13887643648627035
137,1e-07,"(10, 20, 5)",sgd,0.1347105093049792
138,1e-07,"(10, 20, 10)",lbfgs,0.14391923317357824
139,1e-07,"(10, 20, 10)",adam,0.13909615811682763
140,1e-07,"(10, 20, 10)",sgd,0.12752237534416822
141,1e-07,"(10, 20, 20)",lbfgs,0.1384047101710253
142,1e-07,"(10, 20, 20)",adam,0.14205894298239363
143,1e-07,"(10, 20, 20)",sgd,0.0839348669895904
144,1e-07,"(20, 2, 2)",lbfgs,0.12591883378847224
145,1e-07,"(20, 2, 2)",adam,0.1391738487737616
146,1e-07,"(20, 2, 2)",sgd,0.10860971261221086
147,1e-07,"(20, 2, 5)",lbfgs,0.1370555077746768
148,1e-07,"(20, 2, 5)",adam,0.14143617017978705
149,1e-07,"(20, 2, 5)",sgd,0.11500527206328315
150,1e-07,"(20, 2, 10)",lbfgs,0.11168622878664969
151,1e-07,"(20, 2, 10)",adam,0.13536799648308673
152,1e-07,"(20, 2, 10)",sgd,0.13592013268544412
153,1e-07,"(20, 2, 20)",lbfgs,0.13332838599569707
154,1e-07,"(20, 2, 20)",adam,0.13936199601018595
155,1e-07,"(20, 2, 20)",sgd,0.12656864254698286
156,1e-07,"(20, 5, 2)",lbfgs,0.12203724812654182
157,1e-07,"(20, 5, 2)",adam,0.14297485906281393
158,1e-07,"(20, 5, 2)",sgd,0.11754537504753237
159,1e-07,"(20, 5, 5)",lbfgs,0.12517067396222925
160,1e-07,"(20, 5, 5)",adam,0.14057351891750447
